SF18	Pa	#FFFFFF
SF18	Ta	#FFFFFF
SF17	Qa	#FFFFFF
SF16	Ea	#0E87CC
SF15	Fa	#069494
SF14	La	#9D00FF
SF13	Ia	#660c21
SF12	Aa	#898989
SF11	Ja	#A47DAB
SF10	Ba	#FFA500
SF9	Ca	#FF2C2C
SF8	Oa	#636B2F
SF8	Na	#008000
SF7	Ka	#2CFF05
SF6	Ha	#895129
SF4	Ga	#FFDE21
SF5	R1	#0000FF
SF5	R2	#0000FF
SF3	W1	#007FFF
SF3	W2	#007FFF
SF3	W3	#007FFF
SF3	W4	#007FFF
SF3	W5	#007FFF
SF02	D3	#9400D3
SF02	D4	#9400D3
SF02	D5	#9400D3
SF02	D6	#9400D3
SF02	D7	#9400D3
SF02	D8	#9400D3
SF02	D9	#9400D3
SF2	D1	#7F00FF
SF2	D2	#7F00FF
SF2	FD	#7F00FF
SF01	J3	#D20A2E
SF01	J4	#D20A2E
SF01	J5	#D20A2E
SF01	J6	#D20A2E
SF1	J1	#FF8DA1
SF1	J2	#FF8DA1
